"Local Authority in England and Health board in Scotland and Wales","long","lat","ONS","05/03","07/03","08/03","09/03","10/03","11/03","12/03","13/03","14/03","15/03","16/03","17/03","18/03","19/03","20/03","21/03","22/03","23/03","24/03","25/03"
"Solihull",-1.71558,52.431,"E08000029",0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,4,8,12,19
"Somerset",-3.29605,51.07186,"E10000027","1 to 4",1,2,2,2,2,1,1,2,2,3,5,7,10,10,12,13,15,21,22
"South Gloucestershire",-2.46922,51.54671,"E06000025",0,0,0,0,0,1,1,1,2,4,5,6,9,12,13,14,17,19,19,25
"South Tyneside",-1.44696,54.96988,"E08000023",0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,6,8,9
"Southampton",-1.40025,50.92038,"E06000045",0,0,0,0,0,0,0,0,0,1,1,3,4,7,7,8,11,11,24,28
"Southend-on-Sea",0.706906,51.54914,"E06000033",0,1,1,1,1,1,1,2,2,3,3,4,5,4,5,8,8,8,8,9
"Southwark",-0.07309,51.46589,"E09000028","1 to 4",1,3,5,8,9,11,13,28,30,33,58,70,82,110,134,139,154,181,209
"St. Helens",-2.7031,53.45862,"E08000013",0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,6,8,16
"Staffordshire",-2.02756,52.9093,"E10000028","1 to 4",4,4,4,4,4,4,4,4,6,7,10,14,18,25,35,41,54,76,97
"Stockport",-2.12467,53.39116,"E08000007",0,0,0,0,0,0,0,2,3,3,3,10,10,13,21,24,29,36,42,45
"Stockton-on-Tees",-1.30669,54.55691,"E06000004",0,0,0,0,0,2,2,2,2,2,2,3,6,9,9,10,11,12,12,14
"Stoke-on-Trent",-2.15888,53.01707,"E06000021",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,9,12
"Suffolk",1.049148,52.25387,"E10000029",0,0,0,1,1,1,1,1,1,3,3,3,10,13,13,15,18,22,28,35
"Sunderland",-1.43344,54.8572,"E08000024",0,0,0,1,1,1,1,1,1,1,1,1,3,4,5,11,11,13,20,25
"Surrey",-0.33911,51.26803,"E10000030","1 to 4",4,5,6,6,10,13,16,15,23,25,30,39,45,57,65,68,69,110,117
"Sutton",-0.17227,51.35756,"E09000029",0,0,0,1,2,4,5,6,6,7,11,10,12,14,19,23,24,24,40,45
"Swindon",-1.73367,51.57763,"E06000030",0,1,2,2,2,2,2,2,2,2,2,2,3,4,5,5,6,7,7,8
"Tameside",-2.077,53.47867,"E08000008",0,0,1,1,1,1,1,1,2,3,3,10,12,14,19,21,21,27,32,35
"Telford and Wrekin",-2.48941,52.71417,"E06000020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,12
"Thurrock",0.334902,51.50994,"E06000034",0,0,0,0,0,0,0,0,0,1,1,1,2,3,6,8,10,13,15,15
"Torbay",-3.55523,50.47088,"E06000027","1 to 4",4,6,7,7,7,7,7,7,7,7,6,6,8,10,10,16,17,17,18
"Tower Hamlets",-0.0364,51.51553,"E09000030",0,0,1,1,4,4,6,6,8,9,12,23,25,33,43,51,57,67,70,71
"Trafford",-2.36572,53.41671,"E08000009","1 to 4",4,4,4,4,4,4,5,7,6,7,12,14,13,15,19,23,28,31,40
"Wakefield",-1.42092,53.65922,"E08000036",0,0,0,0,0,0,0,0,1,2,3,4,5,6,6,8,10,12,13,19
"Walsall",-1.97044,52.60503,"E08000030",0,0,0,0,0,0,0,1,1,5,11,13,14,16,20,28,29,37,43,60
"Waltham Forest",-0.01881,51.59461,"E09000031",0,0,0,1,1,1,1,1,2,2,4,7,14,17,23,38,50,56,61,63
"Wandsworth",-0.20021,51.45239,"E09000032","1 to 4",2,3,3,3,3,7,7,9,17,20,21,59,75,98,107,110,113,155,184
"Warrington",-2.56167,53.39163,"E06000007",0,0,0,0,0,1,1,1,1,1,1,3,4,4,4,4,4,7,8,9
"Warwickshire",-1.56874,52.17977,"E10000031",0,0,3,4,4,4,4,4,4,5,4,4,10,11,13,17,29,35,52,59
"West Berkshire",-1.27364,51.44559,"E06000037",0,0,0,0,0,0,0,1,3,3,3,3,3,3,6,7,8,10,12,16
"West Sussex",-0.45933,50.95134,"E10000032","1 to 4",3,3,3,3,3,3,4,6,7,5,10,10,16,19,27,27,28,52,57
"Westminster",-0.15295,51.51221,"E09000033",0,2,3,3,5,6,12,13,24,35,37,58,68,78,99,110,117,134,143,152
"Wigan",-2.57247,53.51445,"E08000010","1 to 4",3,3,3,3,3,3,3,3,3,3,4,4,4,6,9,9,9,11,14
"Wiltshire",-1.92661,51.32883,"E06000054","1 to 4",3,3,3,4,4,4,4,5,5,7,7,9,12,17,20,23,28,34,39
"Windsor and Maidenhead",-0.67541,51.48034,"E06000040",0,0,0,0,1,1,1,4,5,6,6,9,10,13,13,13,13,13,13,13
"Wirral",-3.06502,53.37454,"E08000015","1 to 4",1,1,1,1,2,4,5,5,5,5,6,8,8,9,10,10,12,15,16
"Wokingham",-0.89935,51.42296,"E06000041","1 to 4",2,3,3,3,3,3,4,6,5,6,8,10,9,12,13,13,13,13,13
"Wolverhampton",-2.12746,52.59788,"E08000031",0,0,0,2,3,4,4,8,9,8,11,18,22,28,39,45,52,69,81,98
"Worcestershire",-2.20935,52.21287,"E10000034",0,0,0,0,0,0,0,2,2,3,3,1,5,8,10,12,19,28,38,55
"York",-1.07375,53.96582,"E06000014","1 to 4",3,3,3,3,3,3,4,4,4,4,3,4,5,6,8,10,10,11,14
"Swansea Bay",-3.93489,51.6664,,,,,,,,,,,,,,32,33,34,41,47,,,
"Aneurin Bevan",-2.9894,51.74323,,,,,,,,,,,,,,63,76,92,145,185,,,
"Betsi Cadwaladr",-3.75275,52.99951,,,,,,,,,,,,,,7,7,7,8,8,,,
"Cardiff and Vale",-3.39039,51.46929,,,,,,,,,,,,,,20,28,29,51,64,,,
"Cwm Taf",-3.50313,51.65512,,,,,,,,,,,,,,5,6,7,9,13,,,
"Hywel Dda",-4.18274,52.08504,,,,,,,,,,,,,,11,12,11,14,16,,,
"Powys",-3.43533,52.34863,,,,,,,,,,,,,,8,8,8,9,10,,,
